 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      90.93 ;     151.42 ;
    6 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      90.93 ;     151.42 ;
    6 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      90.71 ;     151.42 ;
    6 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      90.47 ;     229.69 ;
    6 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      90.43 ;     229.69 ;
    6 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      88.91 ;     229.69 ;
    6 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     144.13 ;     103.74 ;
    6 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     144.13 ;     103.74 ;
    6 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     144.08 ;     103.74 ;
    6 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     144.13 ;     151.42 ;
    6 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     144.13 ;     151.42 ;
    6 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     144.08 ;     151.42 ;
    6 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     141.69 ;     229.69 ;
    6 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     141.53 ;     229.69 ;
    6 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     141.09 ;     229.69 ;
    6 ;   25 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      70.91 ;     103.74 ;
